17h42.3m	-39d02m
17h43.3m	+4d34m
17h46.2m	+27d44m
17h47.4m	-40d07m
17h49.6m	-37d02m
17h56.5m	+51d29m
17h58.8m	-9d46m
18h05.6m	-30d25m
18h17.4m	-36d46m
18h20.8m	-29d50m
18h21.2m	-2d54m
18h24.0m	-34d23m
18h26.7m	-45d58m
18h27.8m	-25d26m
18h36.8m	+38d46m
18h45.5m	-27d00m
18h49.9m	+33d21m
18h55.1m	-26d19m
18h57.6m	-21d07m
18h58.7m	+32d41m
19h02.4m	-29d53m
19h05.3m	+13d52m
19h06.1m	-4d53m
19h06.8m	-27d40m
19h09.6m	-21d01m
19h12.6m	+67d40m
19h25.4m	+3d07m
19h30.5m	+27d57m
19h44.8m	+45d07m
19h46.1m	+10d36m
19h50.7m	+8d51m
19h52.3m	+1d00m
19h58.7m	+19d29m
20h11.2m	-0d50m
20h20.8m	-14d48m
20h22.0m	+40d14m
20h25.4m	-56d45m
20h37.3m	-47d19m
20h41.3m	+45d16m
20h44.6m	-66d13m
20h45.2m	+61d49m
20h46.0m	+33d57m
21h12.9m	+30d12m
21h18.4m	+62d34m
21h28.6m	+70d33m
21h31.4m	-5d35m
21h44.0m	+9d51m
21h46.9m	-16d09m
21h53.8m	-37d23m
22h05.6m	-0d20m
22h08.0m	-47d00m
22h10.1m	+6d11m
22h10.7m	+58d11m
22h18.3m	-60d17m
22h29.0m	+58d24m
22h41.3m	+10d49m
22h42.5m	-46d54m
22h42.8m	+30d12m
22h48.4m	-51d20m
22h49.5m	+66d11m
22h49.9m	+24d35m
22h54.6m	-15d51m
22h57.5m	-29d39m
23h03.7m	+28d04m
23h04.6m	+15d11m
23h39.3m	+77d36m
